Year,team,conference,total.games,total.wins,total.losses,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,sacks,tacklesForLoss,division,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2010,California,Pac-10,12,5,7,213.0,6.0,15.0,7.0,11.0,12.0,1.0,72.0,11.0,0.0,1002.0,48.0,2271.0,332.0,185.0,9.0,16.0,80.0,685.0,13593.0,1.0,304.0,44.0,428.0,19.0,1907.0,52.0,149.0,4008.0,18.0,,,,0,9,3,6,0,7,4,3,0,5,1,4,0
2010,Central Michigan,Mid-American,12,3,9,264.0,16.0,27.0,11.0,14.0,12.0,1.0,69.0,18.0,0.0,1037.0,53.0,3618.0,477.0,288.0,4.0,17.0,67.0,619.0,13642.0,1.0,170.0,40.0,383.0,18.0,1269.0,64.0,171.0,4677.0,29.0,,,West,0,8,2,6,0,5,2,3,0,7,1,6,0
2010,Cincinnati,Big East,12,4,8,263.0,6.0,14.0,14.0,6.0,12.0,0.0,23.0,15.0,0.0,1191.0,60.0,3384.0,435.0,251.0,8.0,27.0,81.0,761.0,12415.0,0.0,152.0,41.0,402.0,15.0,1880.0,77.0,170.0,5008.0,29.0,,,,0,7,2,5,0,7,3,4,0,5,1,4,0
2010,Clemson,ACC,13,6,7,233.0,8.0,16.0,9.0,5.0,13.0,2.0,189.0,14.0,1.0,1018.0,46.0,2675.0,409.0,230.0,15.0,17.0,78.0,718.0,13766.0,0.0,331.0,47.0,457.0,19.0,1807.0,75.0,191.0,4350.0,23.0,,,Atlantic,0,8,4,4,0,7,5,2,0,5,1,4,0
2010,Colorado,Big 12,12,5,7,236.0,8.0,14.0,9.0,9.0,12.0,0.0,31.0,11.0,0.0,1164.0,50.0,2864.0,397.0,237.0,10.0,21.0,78.0,588.0,13948.0,0.0,131.0,31.0,450.0,15.0,1644.0,82.0,182.0,4316.0,20.0,,,North,0,8,2,6,0,6,4,2,0,5,0,5,0
2010,Colorado State,Mountain West,12,3,9,217.0,7.0,25.0,9.0,10.0,12.0,0.0,28.0,13.0,0.0,1482.0,62.0,2906.0,393.0,253.0,4.0,11.0,54.0,486.0,13271.0,0.0,104.0,27.0,392.0,10.0,1356.0,62.0,169.0,4018.0,22.0,,,,0,8,2,6,0,5,3,2,0,6,0,6,0
2010,Connecticut,Big East,13,8,5,210.0,11.0,19.0,10.0,12.0,13.0,5.0,486.0,9.0,3.0,1487.0,55.0,2047.0,357.0,188.0,20.0,10.0,63.0,522.0,14443.0,0.0,229.0,36.0,501.0,20.0,2271.0,60.0,192.0,4235.0,19.0,,,,0,7,5,2,0,6,6,0,0,6,2,4,0
2010,Duke,ACC,12,3,9,239.0,9.0,19.0,9.0,9.0,12.0,0.0,63.0,19.0,0.0,1419.0,68.0,3421.0,489.0,295.0,8.0,14.0,55.0,487.0,12609.0,0.0,188.0,31.0,383.0,19.0,1320.0,73.0,183.0,4576.0,28.0,,,Coastal,0,8,1,7,0,7,2,5,0,5,1,4,0
2010,East Carolina,Conference USA,13,6,7,307.0,21.0,28.0,14.0,10.0,13.0,1.0,120.0,16.0,1.0,1653.0,84.0,4272.0,632.0,408.0,11.0,39.0,103.0,879.0,13184.0,0.0,227.0,28.0,358.0,21.0,1546.0,78.0,181.0,5689.0,30.0,,,East,0,8,5,3,0,6,4,2,0,6,2,4,0
2010,Eastern Michigan,Mid-American,12,2,10,205.0,13.0,28.0,10.0,11.0,12.0,0.0,34.0,14.0,0.0,1403.0,72.0,2074.0,282.0,150.0,2.0,14.0,67.0,639.0,14529.0,0.0,27.0,27.0,511.0,17.0,2080.0,61.0,173.0,4001.0,24.0,,,West,0,8,2,6,0,5,0,5,0,7,2,5,0
2010,Florida,SEC,13,8,5,247.0,17.0,33.0,15.0,7.0,13.0,4.0,538.0,12.0,2.0,1392.0,54.0,2540.0,381.0,230.0,22.0,12.0,101.0,745.0,14710.0,2.0,302.0,45.0,504.0,31.0,2165.0,64.0,172.0,4561.0,27.0,,,East,0,8,4,4,0,7,4,3,0,4,2,2,0
2010,Florida Atlantic,Sun Belt,12,4,8,189.0,6.0,14.0,13.0,6.0,12.0,1.0,136.0,14.0,0.0,1116.0,56.0,2793.0,342.0,193.0,11.0,17.0,86.0,700.0,12876.0,0.0,149.0,31.0,400.0,8.0,1127.0,53.0,164.0,3627.0,27.0,,,,0,8,3,5,0,4,2,2,0,7,2,5,0
2010,Florida International,Sun Belt,13,7,6,250.0,9.0,19.0,7.0,10.0,13.0,2.0,188.0,14.0,2.0,1334.0,60.0,2865.0,384.0,234.0,15.0,16.0,106.0,916.0,15175.0,0.0,183.0,42.0,522.0,26.0,2438.0,68.0,183.0,5136.0,21.0,,,,0,8,6,2,0,5,3,2,0,7,3,4,0
2010,Florida State,ACC,14,10,4,274.0,7.0,10.0,10.0,12.0,14.0,1.0,185.0,13.0,0.0,1169.0,58.0,3096.0,397.0,250.0,15.0,24.0,89.0,823.0,15808.0,1.0,318.0,44.0,500.0,27.0,2400.0,89.0,185.0,5338.0,23.0,,,Atlantic,0,9,6,3,0,7,6,1,0,5,3,2,0
2010,Fresno State,Western Athletic,13,8,5,251.0,13.0,20.0,15.0,5.0,13.0,1.0,151.0,9.0,0.0,1347.0,59.0,3086.0,364.0,228.0,8.0,24.0,73.0,642.0,15181.0,1.0,299.0,40.0,494.0,19.0,1958.0,63.0,178.0,4818.0,24.0,,,,0,8,5,3,0,7,5,2,0,5,3,2,0
2010,Georgia,SEC,13,6,7,245.0,8.0,15.0,8.0,10.0,13.0,3.0,169.0,8.0,1.0,930.0,44.0,3353.0,359.0,218.0,16.0,25.0,68.0,545.0,14786.0,0.0,223.0,33.0,455.0,21.0,1854.0,66.0,163.0,5005.0,16.0,,,East,0,8,3,5,0,6,5,1,0,5,1,4,0
2010,Georgia Tech,ACC,13,6,7,265.0,22.0,40.0,20.0,13.0,13.0,2.0,214.0,7.0,0.0,1057.0,53.0,1173.0,168.0,64.0,8.0,9.0,80.0,663.0,15796.0,0.0,134.0,33.0,753.0,31.0,4203.0,74.0,183.0,5294.0,27.0,,,Coastal,0,8,4,4,0,6,4,2,0,6,2,4,0
2010,Hawai'i,Western Athletic,14,10,4,333.0,10.0,19.0,9.0,15.0,14.0,3.0,322.0,17.0,0.0,1143.0,58.0,5775.0,618.0,394.0,23.0,42.0,90.0,786.0,15105.0,0.0,72.0,42.0,308.0,25.0,1489.0,56.0,150.0,7009.0,26.0,,,,0,8,7,1,0,7,6,1,0,6,4,2,0
2010,Houston,Conference USA,12,5,7,307.0,12.0,21.0,7.0,9.0,12.0,2.0,245.0,20.0,1.0,1331.0,60.0,4008.0,484.0,298.0,13.0,34.0,60.0,481.0,11813.0,1.0,231.0,30.0,410.0,20.0,1839.0,79.0,163.0,5766.0,27.0,,,West,0,8,4,4,0,6,3,3,0,6,2,4,0
2010,Idaho,Western Athletic,13,6,7,259.0,8.0,19.0,11.0,19.0,13.0,0.0,119.0,17.0,1.0,1299.0,61.0,4189.0,549.0,313.0,11.0,27.0,87.0,866.0,14912.0,0.0,81.0,38.0,373.0,12.0,1146.0,86.0,198.0,5028.0,28.0,,,,0,8,3,5,0,6,4,2,0,7,2,5,0
2010,Illinois,Big Ten,13,7,6,268.0,9.0,11.0,7.0,16.0,13.0,3.0,199.0,12.0,0.0,968.0,49.0,2111.0,284.0,165.0,11.0,18.0,79.0,713.0,16093.0,0.0,60.0,45.0,619.0,29.0,3199.0,72.0,177.0,5162.0,19.0,,,,0,8,4,4,0,6,4,2,0,5,2,3,0
2010,Indiana,Big Ten,12,5,7,260.0,5.0,13.0,8.0,5.0,12.0,1.0,91.0,12.0,0.0,1479.0,63.0,3537.0,513.0,311.0,8.0,25.0,52.0,476.0,13683.0,0.0,61.0,17.0,348.0,13.0,1204.0,74.0,169.0,4650.0,20.0,,,,0,8,1,7,0,6,3,3,0,5,2,3,0
2010,Iowa,Big Ten,13,8,5,261.0,5.0,10.0,5.0,5.0,13.0,4.0,315.0,6.0,1.0,809.0,32.0,3190.0,357.0,226.0,19.0,26.0,64.0,486.0,14820.0,1.0,180.0,41.0,449.0,16.0,1929.0,73.0,158.0,4978.0,11.0,,,,0,9,4,5,0,7,5,2,0,5,2,3,0
2010,Iowa State,Big 12,12,5,7,220.0,9.0,23.0,7.0,10.0,12.0,3.0,231.0,10.0,1.0,1185.0,54.0,2282.0,373.0,211.0,13.0,14.0,71.0,616.0,12547.0,1.0,144.0,35.0,455.0,15.0,1718.0,68.0,181.0,3809.0,17.0,,,North,0,8,3,5,0,7,4,3,0,4,1,3,0
2010,Kansas,Big 12,12,3,9,219.0,10.0,23.0,6.0,5.0,12.0,0.0,18.0,14.0,1.0,1384.0,66.0,2179.0,353.0,203.0,7.0,11.0,72.0,681.0,12625.0,0.0,57.0,24.0,470.0,13.0,1615.0,81.0,198.0,3557.0,20.0,,,North,0,8,1,7,0,7,3,4,0,4,0,4,0
2010,Kansas State,Big 12,13,7,6,250.0,13.0,20.0,10.0,9.0,13.0,0.0,125.0,8.0,2.0,1421.0,57.0,2519.0,293.0,189.0,13.0,16.0,62.0,469.0,14557.0,0.0,189.0,43.0,554.0,40.0,2593.0,82.0,176.0,4924.0,18.0,,,North,0,8,3,5,0,6,4,2,0,5,2,3,0
2010,Kent State,Mid-American,12,5,7,201.0,10.0,17.0,13.0,11.0,12.0,2.0,177.0,14.0,1.0,983.0,48.0,2546.0,390.0,228.0,16.0,11.0,74.0,670.0,13295.0,1.0,211.0,51.0,383.0,15.0,1363.0,49.0,160.0,3772.0,27.0,,,East,0,8,4,4,0,6,4,2,0,6,1,5,0
2010,Kentucky,SEC,13,6,7,289.0,17.0,29.0,11.0,7.0,13.0,0.0,4.0,9.0,0.0,1343.0,59.0,3644.0,458.0,298.0,9.0,26.0,71.0,592.0,14246.0,1.0,239.0,44.0,452.0,26.0,2061.0,79.0,179.0,5562.0,20.0,,,East,0,8,2,6,0,7,5,2,0,5,1,4,0
2010,LSU,SEC,13,11,2,228.0,11.0,12.0,12.0,13.0,13.0,1.0,363.0,11.0,0.0,1190.0,46.0,2196.0,301.0,173.0,19.0,10.0,77.0,603.0,14845.0,2.0,432.0,44.0,538.0,29.0,2438.0,70.0,184.0,4461.0,23.0,,,West,0,8,6,2,0,7,7,0,0,4,2,2,0
2010,Louisiana,Sun Belt,12,3,9,210.0,13.0,27.0,10.0,8.0,12.0,0.0,80.0,15.0,1.0,1217.0,69.0,3238.0,436.0,229.0,14.0,18.0,68.0,486.0,13561.0,0.0,91.0,25.0,414.0,14.0,1207.0,69.0,196.0,4207.0,25.0,,,,0,8,3,5,0,5,1,4,0,7,2,5,0
2010,Louisiana Monroe,Sun Belt,12,5,7,223.0,16.0,33.0,11.0,7.0,12.0,1.0,145.0,14.0,0.0,1432.0,68.0,2921.0,401.0,247.0,12.0,18.0,96.0,790.0,14551.0,0.0,71.0,27.0,473.0,13.0,1444.0,67.0,189.0,4164.0,25.0,,,,0,8,4,4,0,5,4,1,0,6,1,5,0
2010,Louisiana Tech,Western Athletic,12,5,7,251.0,14.0,26.0,13.0,11.0,12.0,0.0,154.0,14.0,1.0,1576.0,67.0,2745.0,424.0,260.0,12.0,16.0,59.0,527.0,11815.0,1.0,218.0,38.0,465.0,22.0,2051.0,68.0,181.0,4678.0,27.0,,,,0,8,4,4,0,6,2,4,0,5,2,3,0
2010,Louisville,Big East,13,7,6,243.0,7.0,13.0,8.0,10.0,13.0,1.0,104.0,8.0,1.0,1147.0,44.0,2636.0,363.0,217.0,9.0,22.0,103.0,829.0,14689.0,1.0,290.0,38.0,472.0,17.0,2275.0,71.0,178.0,4797.0,16.0,,,,0,7,3,4,0,7,3,4,0,5,3,2,0
